R7,1月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
29,そばセット,0,3,,,0,0,0,1,1,,,0,,0,,,
,,,,,,,,,,,,,,,,,,
,メニュー合計,72,86,0,0,58,85,70,69,76,0,0,56,,66,0,0,
,,,,,,,,,,,,,,,,,,
R7,5月,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,木,金,土,日,月,火,水,木,金,土,日,月,火,水,木,金,
1,日替定食,23,24,,,,,✕,,30,,,✕,22,31,30,34,
2,日替丼,✕,✕,,,,,25,,✕,,,21,✕,✕,✕,✕,
4,カレー,6,6,,,,,6,,6,,,3,1,7,7,6,
5,カツカレー,✕,✕,,,,,✕,,✕,,,0,10,0,✕,0,
6,ハヤシライス,✕,✕,,,,,✕,,✕,,,0,0,0,✕,0,
8,やきめし,✕,4,,,,,✕,,✕,,,0,0,0,✕,8,
9,醤油ラーメン,3,6,,,,,2,,7,,,5,2,4,4,4,
10,醤油ラーメン（大盛）,5,4,,,,,10,,1,,,4,5,2,1,2,
11,豚骨ラーメン,1,4,,,,,2,,0,,,1,2,3,3,1,
12,豚骨ラーメン（大盛）,3,6,,,,,3,,3,,,0,4,2,2,3,
13,チャーシュー醤油,0,1,,,,,0,,0,,,1,1,1,0,1,
14,チャーシュー豚骨,0,1,,,,,2,,2,,,0,0,1,1,0,
15,ラーメンセットミニ炒飯醤油,0,5,,,,,0,,0,,,0,0,0,0,7,
16,ラーメンセットミニ炒飯豚骨,0,9,,,,,0,,0,,,0,0,0,0,7,
17,かけうどん,3,5,,,,,5,,7,,,3,1,5,3,7,
18,天ぷらうどん,4,1,,,,,2,,2,,,3,2,3,1,2,
19,カレーうどん,0,2,,,,,0,,1,,,2,0,1,4,2,
20,肉うどん,6,9,,,,,9,,4,,,6,2,13,10,5,
21,うどんセット,2,5,,,,,5,,5,,,0,1,4,1,4,
23,ラーメンセットミニカレー醤油,6,1,,,,,4,,7,,,4,1,6,4,0,
24,ラーメンセットミニカレー豚骨,3,0,,,,,3,,4,,,1,1,7,5,0,
25,かけそば,0,0,,,,,0,,0,,,1,1,3,2,0,
26,天ぷらそば,1,1,,,,,1,,0,,,0,0,0,0,1,
27,カレーそば,0,0,,,,,0,,0,,,0,0,0,0,0,
28,肉そば,1,1,,,,,2,,1,,,0,0,2,0,0,
29,そばセット,0,1,,,,,1,,0,,,0,0,0,2,2,
,,,,,,,,,,,,,,,,,,
,メニュー合計,67,96,0,0,0,0,82,0,80,0,0,55,56,95,80,96,
,,,,,,,,,,,,,,,,,,
R7,5月,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,
,,土,日,月,火,水,木,金,土,日,月,火,水,木,金,土,,
1,日替定食,,✕,,24,31,33,26,,,✕,32,23,26,✕,,,
2,日替丼,,✕,,✕,✕,✕,0,,,23,✕,0,✕,25,,,
4,カレー,,40,,3,3,5,1,,,0,✕,6,5,3,,,
5,カツカレー,,✕,,17,✕,✕,0,,,✕,12,0,✕,0,,,
6,ハヤシライス,,✕,,0,✕,✕,8,,,✕,0,0,✕,0,,,
8,やきめし,,✕,,0,✕,✕,5,,,✕,0,0,✕,0,,,
9,醤油ラーメン,,32,,4,3,3,4,,,5,4,5,3,5,,,
10,醤油ラーメン（大盛）,,0,,4,8,3,3,,,8,3,7,3,8,,,
